3866,AllPlayAnimation_1920x1080.mp4,"AllPlay Video Animation - 1920x1080, mp4 Format","AllPlay, Video, Animation, mp4",Qualcomm,AllPlay,Video: AllPlay Animation,,Elysia,6/18/15,Elysia,6/18/15,,10.34 Mbit/s,MP4,N/A,112.7mb,,,,,,,,,,,,,,,,,,
3867,AllPlay_Icon_Black.eps,"Qualcomm AllPlay Icon - Black, eps Format","AllPlay, Icon, Black, eps",Qualcomm,AllPlay,Icons,,Elysia,6/22/15,Elysia,6/22/15,,,EPS,N/A,704kb,,,,,,,,,,,,,,,,,,
3868,AllPlay_Icon_Black.jpg,"Qualcomm AllPlay Icon - Black, jpg Format","AllPlay, Icon, Black, jpg",Qualcomm,AllPlay,Icons,,Elysia,6/22/15,Elysia,6/22/15,,,JPEG,300 dpi,117kb,,,,,,,,,,,,,,,,,,
3869,Man looking at Tablet,Man looking at his tablet in an office setting,"Qualcomm, Tablet, Device, Man, Office",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,9kb,,,,,,,,,,,,,,,,,,
3870,AllPlay_Icon_Blue.eps,"Qualcomm AllPlay Icon - Blue, eps Format","AllPlay, Icon, Blue, eps",Qualcomm,AllPlay,Icons,,Elysia,6/22/15,Elysia,6/22/15,,,EPS,N/A,704kb,,,,,,,,,,,,,,,,,,
3871,AllPlay_Icon_Blue.jpg,"Qualcomm AllPlay Icon - Blue, jpg Format","AllPlay, Icon, Blue, jpg",Qualcomm,AllPlay,Icons,,Elysia,6/22/15,Elysia,6/22/15,,,JPEG,300 dpi,155kb,,,,,,,,,,,,,,,,,,
3872,AllPlay_Icon_Gray.eps,"Qualcomm AllPlay Icon - Gray, eps Format","AllPlay, Icon, Gray, eps",Qualcomm,AllPlay,Icons,,Elysia,6/22/15,Elysia,6/22/15,,,EPS,N/A,700kb,,,,,,,,,,,,,,,,,,
3873,Close_Up_of_Male_Checking_Watch_3873.jpg,Male checking smart watch outside,"Smart, Watch, Device, Male, Outside",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,7kb,,,,,,,,,,,,,,,,,,
3874,Closeup_of_Someone_Checking_Phone_3874.jpg,Individual checking smart phone outside,"Smart, Phone, Outside",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,7kb,,,,,,,,,,,,,,,,,,
3875,Closeup_of_Tablet_in_Kitchen_3875.jpg,Closeup of someone checking their tablet in the kitchen,"Tablet, Kitchen, Closeup, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,10kb,,,,,,,,,,,,,,,,,,
3876,Close_Up_of_Tablet_in_Living_Room_3876.jpg,Closeup of someone checking their tablet in the living room with a TV in the background,"Tablet, Device, Living room, TV",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,5kb,,,,,,,,,,,,,,,,,,
3877,Couple_in_Car_3877.jpg,Couple in car using smartphone,"Couple, Car, Smart, Phone, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,10/6/15,,,JPEG,300 dpi,14kb,,,,,,,,,,,,,,,,,,
3878,Couple_talking_in_Car_3878.jpg,Couple talking in car with smart phone,"Couple, Car, Smart, Phone, Device, Talking",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,14kb,,,,,,,,,,,,,,,,,,
3879,Employees_on_Couch_3879.jpg,Employees using their devices while sitting on the couch,"Employees, Tablet, Phone, Device, Couch, Talking",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,18kb,,,,,,,,,,,,,,,,,,
3880,Employees_Talking_on_Couch_3880.jpg,Employees talking on the couch while using their devices,"Employees, Smart, Phone, Tablet, Device, Talking, Couch",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,19kb,,,,,,,,,,,,,,,,,,
3881,Female_Using_Phone_While_Shopping_3881.jpg,Female using her smartphone while shopping at the mall,"Female, Shopping, Smart, Phone, Device, Mall",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,72 dpi,10kb,,,,,,,,,,,,,,,,,,
3882,Female_Checking_Phone_in_Car_3882.jpg,Female passenger checking her phone in the car,"Female, Passenger, Smart, Phone, Device, Driving, Car",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,10/6/15,,,JPEG,72 dpi,13kb,,,,,,,,,,,,,,,,,,
3883,Girl_Checking_Watch_in_Bathroom_3883.jpg,Female checking her smart watch in the bathroom,"Female, Smart, Watch, Bathroom, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,9.9mb,,,,,,,,,,,,,,,,,,
3884,Girl_Looking_at_Tablet_in_Living_Room_3884.jpg,Female checking her tablet in the living room,"Female, Tablet, Device, Living Room",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,12.9mb,,,,,,,,,,,,,,,,,,
3885,Male_Checking_Phone_While_Shopping_3885.jpg,Male checking his phone while shopping at the mall,"Male, Smart, Phone, Shopping, Mall, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,9.6mb,,,,,,,,,,,,,,,,,,
3886,Male_Checking_Watch_While_Shopping_3886.jpg,Male checking smart watch while shopping at the mall,"Male, Shopping, Smart, Watch, Mall, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,13.4mb,,,,,,,,,,,,,,,,,,
3887,Male_Checking_Watch_While_Window_Shoppin_3887.jpg,Male looking at his smart watch while shopping at the mall,"Male, Shopping, Smart, Watch, Device, Mall",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,12.3mb,,,,,,,,,,,,,,,,,,
3888,Nurse_Helping_Elderly_Patient_with_Table_3888.jpg,Nurse helping elderly patient in living room with tablet,"Patient, Nurse, Tablet, Device, Help",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,14.5mb,,,,,,,,,,,,,,,,,,
3889,Person_Scanning_Menu_with_Phone_3889.jpg,Person scanning their food menu using their smart phone,"Smart, Phone, Menu, Device, Eating",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,11.1mb,,,,,,,,,,,,,,,,,,
3890,Person_Checking_Phone_on_Staircase_3890.jpg,Person standing in the staircase looking at their phone,"Staircase, Smart, Phone, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,23.9mb,,,,,,,,,,,,,,,,,,
